City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
219,alyangula,AU,78.67,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
220,coahuayana,MX,85.48,scattered clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
228,aden,YE,77.34,scattered clouds,12.7794,45.0367,Sama Emirate Hotel
232,acajutla,SV,89.94,clear sky,13.5928,-89.8275,asi es
236,katherine,AU,79.12,overcast clouds,-14.4667,132.2667,Pine Tree Motel
239,comodoro rivadavia,AR,75.06,few clouds,-45.8667,-67.5,Austral Hotel
241,lumphat,KH,75.11,scattered clouds,13.4878,106.9816,Lumphat Homestay
250,atar,MR,87.75,broken clouds,20.5169,-13.0499,Oumou Elghoura
253,bambous virieux,MU,81.21,broken clouds,-20.3428,57.7575,Casa Tia Villa
257,kariba,ZW,73.22,scattered clouds,-16.5167,28.8,Caribbea Bay Hotel
258,sao felix do xingu,BR,89.73,scattered clouds,-6.6447,-51.995,Rio Xingu Camping
259,honiara,SB,79.68,light rain,-9.4333,159.95,Heritage Park Hotel
261,dingle,PH,74.5,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
263,kununurra,AU,76.98,overcast clouds,-15.7667,128.7333,Hotel Kununurra
264,tautira,PF,80.62,overcast clouds,-17.7333,-149.15,Pension Oaoa
266,ariquemes,BR,79.74,overcast clouds,-9.9133,-63.0408,Hotel Sol Nascente - Ariquemes - RO
274,cabo san lucas,MX,74.61,broken clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
275,djenne,ML,87.08,clear sky,13.9061,-4.5533,Hôtel Chez Baba
279,khartoum,SD,78.03,broken clouds,15.5518,32.5324,Hotel China
280,alofi,NU,73.29,scattered clouds,-19.0595,-169.9187,Taloa Heights
282,kavaratti,IN,80.6,scattered clouds,10.5669,72.642,Hotels in Lakshadweep Islands
284,eydhafushi,MV,82.08,broken clouds,5.1033,73.0708,Soneva Fushi
287,grand gaube,MU,81.37,broken clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
291,iracoubo,GF,79.21,few clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
293,vaitape,PF,81.21,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
294,campoverde,PE,82.09,overcast clouds,-8.4753,-74.8058,Hospedaje Coral's
302,iquitos,PE,87.84,broken clouds,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
